[2026-06-01T14:30:28.422Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324228334 → 200 (37ms, 48200B)
[2026-06-01T14:30:28.423Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324228334 → 200 (38ms, 15620B)
[2026-06-01T14:30:28.423Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324228334 → 200 (45ms, 45712B)
[2026-06-01T14:30:28.423Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324228334 → 200 (47ms, 14888B)
[2026-06-01T14:30:28.443Z] GET http://localhost:3000/_next/image?url=%2FHero.png&w=64&q=75 → 304 (36ms, ?B)
[2026-06-01T14:30:28.443Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324228334 → 200 (11ms, 164688B)
[2026-06-01T14:30:28.443Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324228334 → 200 (49ms, ?B)
[2026-06-01T14:30:28.443Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324228334 → pending (?ms, ?B)
[2026-06-01T14:30:28.443Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (33ms, 246766B)
[2026-06-01T14:30:28.443Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (49ms, ?B)
[2026-06-01T14:30:28.444Z] GET http://localhost:3000/_next/static/chunks/app/login/page.js → 200 (53ms, ?B)
[2026-06-01T14:30:28.444Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (53ms, ?B)
[2026-06-01T14:30:28.444Z] GET http://localhost:3000/_next/static/chunks/app/not-found.js → 200 (49ms, ?B)
[2026-06-01T14:30:28.466Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (1ms, ?B)
[2026-06-01T14:30:29.800Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-01T14:30:29.801Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → 200 (13ms, 1289332B)
[2026-06-01T14:31:02.982Z] GET http://localhost:3000/admin/dashboard → 200 (174ms, 71465B)
[2026-06-01T14:31:03.165Z] GET http://localhost:3000/_next/static/media/06ac09dcb8ec7d56-s.p.woff2?v=1780324262992 → 200 (10ms, 14708B)
[2026-06-01T14:31:03.165Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324262992 → 200 (16ms, 48200B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324262992 → 200 (15ms, 15620B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324262992 → 200 (21ms, 45712B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324262992 → 200 (69ms, 14888B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324262992 → 200 (14ms, 164688B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324262992 → 200 (152ms, 143147B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324262992 → 200 (498ms, ?B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (144ms, 246766B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (166ms, 851397B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (153ms, 415520B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/chunks/app/admin/dashboard/page.js → 200 (152ms, 179850B)
[2026-06-01T14:31:03.168Z] GET http://localhost:3000/_next/static/chunks/app/admin/error.js → 200 (165ms, 415835B)
[2026-06-01T14:31:03.274Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:03.317Z] GET http://localhost:3000/_next/static/chunks/app/admin/layout.js → 200 (71ms, 2161861B)
[2026-06-01T14:31:03.317Z] GET http://localhost:3000/_next/image?url=%2FMLAND%20LOGO.png&w=32&q=75 → 200 (69ms, 1060B)
[2026-06-01T14:31:04.715Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:04.716Z] GET http://localhost:3000/admin/dashboard → pending (?ms, ?B)
[2026-06-01T14:31:04.728Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → pending (?ms, ?B)
[2026-06-01T14:31:04.984Z] GET http://localhost:3000/_next/static/media/06ac09dcb8ec7d56-s.p.woff2?v=1780324264676 → 200 (39ms, 14708B)
[2026-06-01T14:31:04.984Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324264676 → 200 (44ms, 48200B)
[2026-06-01T14:31:04.984Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324264676 → 200 (46ms, 15620B)
[2026-06-01T14:31:04.985Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324264676 → 200 (50ms, 45712B)
[2026-06-01T14:31:04.985Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324264676 → 200 (52ms, 14888B)
[2026-06-01T14:31:04.988Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324264676 → 200 (38ms, 164688B)
[2026-06-01T14:31:04.988Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324264676 → 200 (80ms, 143147B)
[2026-06-01T14:31:04.988Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324264676 → 200 (411ms, ?B)
[2026-06-01T14:31:04.988Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 304 (80ms, ?B)
[2026-06-01T14:31:04.988Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 304 (80ms, ?B)
[2026-06-01T14:31:04.988Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 304 (83ms, ?B)
[2026-06-01T14:31:04.988Z] GET http://localhost:3000/_next/static/chunks/app/admin/dashboard/page.js → 304 (83ms, ?B)
[2026-06-01T14:31:04.988Z] GET http://localhost:3000/_next/static/chunks/app/admin/error.js → 304 (84ms, ?B)
[2026-06-01T14:31:05.027Z] GET http://localhost:3000/_next/static/chunks/app/admin/layout.js → 304 (45ms, ?B)
[2026-06-01T14:31:05.027Z] GET http://localhost:3000/_next/image?url=%2FMLAND%20LOGO.png&w=32&q=75 → 304 (36ms, ?B)
[2026-06-01T14:31:05.061Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:06.485Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:06.486Z] GET http://localhost:3000/admin/dashboard → 200 (136ms, 71463B)
[2026-06-01T14:31:06.507Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → 304 (35ms, ?B)
[2026-06-01T14:31:06.677Z] GET http://localhost:3000/_next/static/media/06ac09dcb8ec7d56-s.p.woff2?v=1780324266447 → 200 (55ms, 14708B)
[2026-06-01T14:31:06.677Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324266447 → 200 (63ms, 48200B)
[2026-06-01T14:31:06.677Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324266447 → 200 (58ms, 15620B)
[2026-06-01T14:31:06.677Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324266447 → 200 (68ms, 45712B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324266447 → 200 (67ms, 14888B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324266447 → 200 (56ms, 164688B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324266447 → 200 (94ms, 143147B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324266447 → pending (?ms, ?B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 304 (92ms, ?B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 304 (92ms, ?B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 304 (92ms, ?B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/chunks/app/admin/dashboard/page.js → 304 (94ms, ?B)
[2026-06-01T14:31:06.678Z] GET http://localhost:3000/_next/static/chunks/app/admin/error.js → 304 (94ms, ?B)
[2026-06-01T14:31:06.735Z] GET http://localhost:3000/_next/static/chunks/app/admin/layout.js → 304 (38ms, ?B)
[2026-06-01T14:31:06.735Z] GET http://localhost:3000/_next/image?url=%2FMLAND%20LOGO.png&w=32&q=75 → 304 (34ms, ?B)
[2026-06-01T14:31:06.755Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:08.024Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:08.025Z] GET http://localhost:3000/admin/dashboard → 200 (131ms, 71463B)
[2026-06-01T14:31:08.055Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → 304 (39ms, ?B)
[2026-06-01T14:31:08.219Z] GET http://localhost:3000/_next/static/media/06ac09dcb8ec7d56-s.p.woff2?v=1780324267995 → 200 (54ms, 14708B)
[2026-06-01T14:31:08.219Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324267995 → 200 (63ms, 48200B)
[2026-06-01T14:31:08.220Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324267995 → 200 (63ms, 15620B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324267995 → 200 (66ms, 45712B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324267995 → 200 (69ms, 14888B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324267995 → 200 (54ms, 164688B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324267995 → 200 (93ms, 143147B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324267995 → 200 (402ms, ?B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 304 (76ms, ?B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 304 (78ms, ?B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 304 (92ms, ?B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/chunks/app/admin/dashboard/page.js → 304 (92ms, ?B)
[2026-06-01T14:31:08.221Z] GET http://localhost:3000/_next/static/chunks/app/admin/error.js → 304 (93ms, ?B)
[2026-06-01T14:31:08.276Z] GET http://localhost:3000/_next/static/chunks/app/admin/layout.js → 304 (39ms, ?B)
[2026-06-01T14:31:08.276Z] GET http://localhost:3000/_next/image?url=%2FMLAND%20LOGO.png&w=32&q=75 → 304 (35ms, ?B)
[2026-06-01T14:31:08.289Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:09.562Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:09.563Z] GET http://localhost:3000/admin/dashboard → 200 (117ms, 71463B)
[2026-06-01T14:31:09.585Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → 304 (11ms, ?B)
[2026-06-01T14:31:09.734Z] GET http://localhost:3000/_next/static/media/06ac09dcb8ec7d56-s.p.woff2?v=1780324269528 → 200 (43ms, 14708B)
[2026-06-01T14:31:09.735Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324269528 → 200 (51ms, 48200B)
[2026-06-01T14:31:09.735Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324269528 → 200 (51ms, 15620B)
[2026-06-01T14:31:09.735Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324269528 → 200 (54ms, 45712B)
[2026-06-01T14:31:09.736Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324269528 → 200 (57ms, 14888B)
[2026-06-01T14:31:09.736Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324269528 → 200 (43ms, 164688B)
[2026-06-01T14:31:09.736Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324269528 → 200 (83ms, 143147B)
[2026-06-01T14:31:09.736Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324269528 → pending (?ms, ?B)
[2026-06-01T14:31:09.737Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 304 (62ms, ?B)
[2026-06-01T14:31:09.737Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 304 (78ms, ?B)
[2026-06-01T14:31:09.737Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 304 (79ms, ?B)
[2026-06-01T14:31:09.737Z] GET http://localhost:3000/_next/static/chunks/app/admin/dashboard/page.js → 304 (79ms, ?B)
[2026-06-01T14:31:09.737Z] GET http://localhost:3000/_next/static/chunks/app/admin/error.js → 304 (81ms, ?B)
[2026-06-01T14:31:09.780Z] GET http://localhost:3000/_next/static/chunks/app/admin/layout.js → 304 (39ms, ?B)
[2026-06-01T14:31:09.780Z] GET http://localhost:3000/_next/image?url=%2FMLAND%20LOGO.png&w=32&q=75 → 304 (34ms, ?B)
[2026-06-01T14:31:09.797Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:11.064Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-06-01T14:31:11.073Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → 304 (8ms, ?B)
[2026-06-01T14:31:56.548Z] GET http://localhost:3000/_next/static/webpack/ec3848edce86e613.webpack.hot-update.json → 200 (283ms, 31B)
[2026-06-01T14:31:56.833Z] GET http://localhost:3000/_next/static/webpack/webpack.ec3848edce86e613.hot-update.js → 200 (10ms, 1157B)
[2026-06-01T14:33:46.260Z] GET http://localhost:3000/admin/dashboard?_rsc=_oNLdzeuixYaL3SX → pending (?ms, ?B)
